no,keyword,class,is_parking,match_type,priority
1,e.v,비공조,N,substring,1
2,e/v,비공조,N,substring,1
3,elev,비공조,N,substring,1
4,elv,비공조,N,substring,1
5,fan,비공조,N,substring,1
6,lift,비공조,N,substring,1
7,m.d.f,비공조,N,substring,1
8,mdf,비공조,N,substring,1
9,가스실,비공조,N,substring,1
10,가축,비공조,N,substring,1
11,개단,비공조,N,substring,1
12,건조실,비공조,N,substring,1
13,건조장,비공조,N,substring,1
14,게단,비공조,N,substring,1
15,경계초소,비공조,N,substring,1
16,계단,비공조,N,substring,1
17,계단실,비공조,N,substring,1
18,계단탑,비공조,N,substring,1
19,계사,비공조,N,substring,1
20,고가수조,비공조,N,substring,1
21,곤충사육,비공조,N,substring,1
22,공조실,비공조,N,substring,1
23,공중변소,비공조,N,substring,1
24,급배기,비공조,N,substring,1
25,기계,비공조,N,substring,1
26,기계실,비공조,N,substring,1
27,기전,비공조,N,substring,1
28,냉각탑,비공조,N,substring,1
29,냉동기실,비공조,N,substring,1
30,농기계보관,비공조,N,substring,1
31,농업생산,비공조,N,substring,1
32,누각,비공조,N,substring,1
33,닥트,비공조,N,substring,1
34,대피소,비공조,N,substring,1
35,대피실,비공조,N,substring,1
36,덕트,비공조,N,substring,1
37,덤웨이터,비공조,N,substring,1
38,데크,비공조,N,substring,1
39,도계,비공조,N,substring,1
40,도축,비공조,N,substring,1
41,돈사,비공조,N,substring,1
42,램프,비공조,Y,substring,1
43,리프트,비공조,N,substring,1
44,마사,비공조,N,substring,1
45,면적제외,비공조,N,substring,1
46,물치,비공조,N,substring,1
47,물탱,비공조,N,substring,1
48,물탱크,비공조,N,substring,1
49,발전,비공조,N,substring,1
50,발착,비공조,N,substring,1
51,방재실,비공조,N,substring,1
52,방풍,비공조,N,substring,1
53,배기실,비공조,N,substring,1
54,배수,비공조,N,substring,1
55,버섯재배,비공조,N,substring,1
56,변소,비공조,N,substring,1
57,변전,비공조,N,substring,1
58,보이라,비공조,N,substring,1
59,보이러,비공조,N,substring,1
60,보일라,비공조,N,substring,1
61,보일러,비공조,N,substring,1
62,보일실,비공조,N,substring,1
63,복도,비공조,N,substring,1
64,부화장,비공조,N,substring,1
65,분뇨,비공조,N,substring,1
66,빗물,비공조,N,substring,1
67,사육사,비공조,N,substring,1
68,샤워실,비공조,N,substring,1
69,설비,비공조,N,substring,1
70,소방,비공조,N,substring,1
71,수배전,비공조,N,substring,1
72,수전,비공조,N,substring,1
73,수전실,비공조,N,substring,1
74,수조,비공조,N,substring,1
75,승강기,비공조,N,substring,1
76,승강장,비공조,N,substring,1
77,쓰레기장,비공조,N,substring,1
78,야적,비공조,N,substring,1
79,야적장,비공조,N,substring,1
80,양계,비공조,N,substring,1
81,양돈,비공조,N,substring,1
82,양봉,비공조,N,substring,1
83,양잠,비공조,N,substring,1
84,에레베이타,비공조,N,substring,1
85,에스카레타,비공조,N,substring,1
86,에스컬레이터,비공조,N,substring,1
87,엘레베이터,비공조,N,substring,1
88,엘레에이트,비공조,N,substring,1
89,엘리베이터,비공조,N,substring,1
90,엘리베이트,비공조,N,substring,1
91,엠디에프,비공조,N,substring,1
92,연면적에서,비공조,N,substring,1
93,연면적제외,비공조,N,substring,1
94,열교,비공조,N,substring,1
95,열교환,비공조,N,substring,1
96,오물,비공조,N,substring,1
97,오수,비공조,N,substring,1
98,오일탱크,비공조,N,substring,1
99,옥외,비공조,N,substring,1
100,옥탑,비공조,N,substring,1
101,외삼문,비공조,N,substring,1
102,우사,비공조,N,substring,1
103,우수,비공조,N,substring,1
104,작물재배,비공조,N,substring,1
105,잠실,비공조,N,substring,1
106,저수조,비공조,N,substring,1
107,전기,비공조,N,substring,1
108,전기실,비공조,N,substring,1
109,전실,비공조,N,substring,1
110,전원실,비공조,N,substring,1
111,정화,비공조,N,substring,1
112,정화시설,비공조,N,substring,1
113,정화조,비공조,N,substring,1
114,종묘배양,비공조,N,substring,1
115,주자장,비공조,Y,substring,1
116,주자창,비공조,Y,substring,1
117,주차,비공조,Y,substring,1
118,주차시설,비공조,Y,substring,1
119,주차장,비공조,Y,substring,1
120,주차타워,비공조,Y,substring,1
121,진입로,비공조,N,substring,1
122,집수,비공조,N,substring,1
123,집하,비공조,N,substring,1
124,집하장,비공조,N,substring,1
125,차고,비공조,Y,substring,1
126,처리장,비공조,N,substring,1
