no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
1,축사,비공조,N,축사,255031,51328755.2
2,계단실,비공조,N,계단|계단실,197761,4193205.9
3,주차장,비공조,Y,주차|주차장,187544,119855501.1
4,변소,비공조,N,변소,161622,524076.1
5,화장실,비공조,N,화장실,152483,1238713.2
6,계단실(연면적제외),비공조,N,계단|계단실|연면적제외|면적제외,97872,1546069.0
7,퇴비사,비공조,N,퇴비사,83029,9994154.3
8,대피소,비공조,N,대피소,78484,16531775.4
9,보일러실,비공조,N,보일러,52794,1741242.2
10,물치,비공조,N,물치,48272,592473.4
11,지하주차장,비공조,Y,주차|주차장,40009,226646576.8
12,농업생산시설,비공조,N,농업생산,36833,1059890.5
13,기계실,비공조,N,기계실|기계,35397,5842663.6
14,우사,비공조,N,우사,35076,10876675.8
15,연면적제외,비공조,N,연면적제외|면적제외,28924,405683.1
16,돈사,비공조,N,돈사,21558,5977944.6
17,차고,비공조,Y,차고,20271,1011504.2
18,옥탑,비공조,N,옥탑,19741,478818.2
19,버섯재배사,비공조,N,버섯재배,19496,4485641.1
20,다가구주택(계단실),비공조,N,계단|계단실,18867,278911.7
21,축사(우사),비공조,N,축사|우사,15611,7545920.1
22,물탱크실(연면적제외),비공조,N,물탱|물탱크|탱크|연면적제외|면적제외,15194,296353.5
23,계사,비공조,N,계사,13665,5696946.3
24,동.식물관련시설(축사),비공조,N,축사,13385,6405972.7
25,건조실,비공조,N,건조실,12947,274280.4
26,펌프실,비공조,N,펌프,11627,1095923.0
27,잠실,비공조,N,잠실,11535,535763.5
28,대피실,비공조,N,대피실,11243,988246.2
29,(연면적제외),비공조,N,연면적제외|면적제외,10218,145549.9
30,물치장,비공조,N,물치,10021,151893.5
31,지하대피소,비공조,N,대피소,9966,5272232.3
32,물탱크실,비공조,N,물탱|물탱크|탱크,9625,298746.0
33,헛간,비공조,N,헛간,9616,209314.0
34,"창고,변소",비공조,N,변소,9534,66634.7
35,계단실(면적제외),비공조,N,계단|계단실|면적제외,9271,155808.8
36,지하주차장연결통로,비공조,Y,주차|주차장|통로,8580,1205998.3
37,옥탑(연면적제외),비공조,N,옥탑|연면적제외|면적제외,8306,179017.9
38,전기실,비공조,N,전기실|전기,8195,1332741.5
39,농기계보관창고,비공조,N,기계|농기계보관,8066,1351295.6
40,다락(연면적제외),비공조,N,연면적제외|면적제외,6453,348863.3
41,통로,비공조,N,통로,6270,1034658.4
42,주차장(연면적제외),비공조,Y,주차|주차장|연면적제외|면적제외,6207,748178.0
43,단독주택(계단실),비공조,N,계단|계단실,6190,83297.2
44,행랑,비공조,N,행랑,6161,165955.5
45,동물및식물관련시설(축사),비공조,N,축사,6099,2385843.4
46,동.식물관련시설(퇴비사),비공조,N,퇴비사,6049,1030900.7
47,단독주택(주차장),비공조,Y,주차|주차장,5847,281886.6
48,물탱크(연면적제외),비공조,N,물탱|물탱크|탱크|연면적제외|면적제외,5719,66658.0
49,"기계실,전기실",비공조,N,기계실|기계|전기실|전기,5646,2719213.0
50,자동차관련시설(주차장),비공조,Y,주차|주차장,5565,5252637.8
51,작물재배사,비공조,N,작물재배,5521,1254858.9
52,"변소,창고",비공조,N,변소,5491,26208.3
53,공동주택(계단실),비공조,N,계단|계단실,5446,368186.7
54,대피소및보일러실,비공조,N,보일러|대피소,5309,298342.0
55,축사(퇴비사),비공조,N,축사|퇴비사,5215,833172.7
56,"계단실,승강기,홀",비공조,N,계단|계단실|승강기,5188,488344.2
57,계단,비공조,N,계단,5097,184070.2
58,다세대주택(계단실),비공조,N,계단|계단실,5062,72790.8
59,창고및변소,비공조,N,변소,5055,36884.1
60,공중화장실,비공조,N,화장실,4950,213249.7
61,건조장,비공조,N,건조장,4941,487992.2
62,축사(계사),비공조,N,축사|계사,4923,2547687.0
63,축사(돈사),비공조,N,축사|돈사,4577,1694145.5
64,"계단실,물탱크실(연면적제외)",비공조,N,계단|계단실|물탱|물탱크|탱크|연면적제외|면적제외,4575,136904.9
65,"창고,화장실",비공조,N,화장실,4385,97228.3
66,캐노피,비공조,N,캐노피,4329,475668.0
67,동.식물관련시설(우사),비공조,N,우사,4322,2086125.0
68,단독주택(다가구주택(계단실)),비공조,N,계단|계단실,4286,70691.2
69,계단탑(연면적제외),비공조,N,계단|계단탑|연면적제외|면적제외,4257,67910.6
70,대피실및보일러실,비공조,N,보일러|대피실,4253,203204.3
71,공중변소,비공조,N,변소|공중변소,3723,58942.8
72,가축용창고,비공조,N,가축,3705,452677.2
73,기계식주차장,비공조,Y,주차|주차장|기계,3700,432897.7
74,"계단실,elev",비공조,N,계단|계단실|elev,3650,151599.1
75,"계단실,주차장",비공조,Y,계단|계단실|주차|주차장,3616,181213.4
76,창고및화장실,비공조,N,화장실,3478,72697.0
77,기계실(연면적제외),비공조,N,기계실|기계|연면적제외|면적제외,3460,89605.5
78,지하계단실,비공조,N,계단|계단실,3426,261920.6
79,축사(창고),비공조,N,축사,3424,342451.8
80,"계단실,물탱크실",비공조,N,계단|계단실|물탱|물탱크|탱크,3418,118937.1
81,공장(화장실),비공조,N,화장실,3218,57458.0
82,단독주택(다가구주택-계단실),비공조,N,계단|계단실,3196,47898.9
83,동물관련시설(축사),비공조,N,축사,3152,830226.5
84,계단탑,비공조,N,계단|계단탑,3008,73915.9
85,변소및창고,비공조,N,변소,2950,15095.4
86,"전기실,발전기실",비공조,N,전기실|전기|발전,2852,693130.1
87,공장(기계실),비공조,N,기계실|기계,2840,534362.5
88,발전기실,비공조,N,전기실|전기|발전,2809,148771.8
89,복도,비공조,N,복도,2809,253554.5
90,계단실(바닥면적제외),비공조,N,계단|계단실|면적제외,2737,49898.9
91,"주차장,계단실",비공조,Y,계단|계단실|주차|주차장,2701,519781.1
92,통신실,비공조,N,통신실,2677,78161.3
93,동.식물관련시설(버섯재배사),비공조,N,버섯재배,2651,662295.0
94,"기계,전기실",비공조,N,기계|전기실|전기,2591,1177730.8
95,연면적에서제외,비공조,N,연면적에서,2561,38209.7
96,보이라실,비공조,N,보이라,2493,288941.6
97,mdf실,비공조,N,mdf,2472,67297.1
98,"화장실,창고",비공조,N,화장실,2250,26914.7
99,동.식물관련시설(가축용창고),비공조,N,가축,2249,262436.1
100,축사및퇴비사,비공조,N,축사|퇴비사,2234,1415232.2
101,동식물관련시설(축사),비공조,N,축사,2226,1224489.9
102,"계단실,화장실",비공조,N,계단|계단실|화장실,2215,125119.1
103,옥내주차장,비공조,Y,주차|주차장,2200,342937.8
104,변전실,비공조,N,변전|전실,2123,336433.4
105,변전소,비공조,N,변전,2107,1044615.2
106,농기계창고,비공조,N,기계,2103,271771.4
107,물탱크실(면적제외),비공조,N,물탱|물탱크|탱크|면적제외,2091,55715.8
108,"주차장,기계실",비공조,Y,주차|주차장|기계실|기계,2061,2679000.9
109,단독주택(보일러실),비공조,N,보일러,2061,26675.0
110,계단실(연면적에서제외),비공조,N,계단|계단실|연면적에서,1998,28257.6
111,주차통로,비공조,Y,주차|통로,1921,116548.5
112,피로티주차장(연면적제외),비공조,Y,주차|주차장|피로티|연면적제외|면적제외,1859,217123.3
113,단독주택(화장실),비공조,N,화장실,1855,8476.4
114,톱밥우사,비공조,N,우사,1837,824113.0
115,피트통로,비공조,N,통로,1830,259437.9
116,"기계실,전기실,발전기실",비공조,N,기계실|기계|전기실|전기|발전,1792,889059.0
117,농기계수리점,비공조,N,기계,1750,288877.3
118,샤워실,비공조,N,샤워실,1744,76083.1
119,방재실,비공조,N,방재실,1742,64052.9
120,축사(통로),비공조,N,축사|통로,1734,297224.6
121,다락(면적제외),비공조,N,면적제외,1728,61937.6
